train/entropy_loss,time/fps,time/time_elapsed,train/n_updates,train/explained_variance,time/iterations,train/policy_loss,train/learning_rate,time/total_timesteps,train/value_loss,eval/mean_ep_length,eval/mean_reward
-0.6930657029151917,261,1,99,0.5077448785305023,100,1.7274456024169922,0.0007,500,7.146195411682129,,
-0.6931442618370056,,,199,-0.00977015495300293,,1.800415277481079,0.0007,1000,8.214677810668945,20.2,20.2
,288,3,,,200,,,1000,,,
-0.6906739473342896,285,5,299,0.08516502380371094,300,1.676987886428833,0.0007,1500,7.1794114112854,,
-0.6920109987258911,,,399,-0.0013276338577270508,,1.4911062717437744,0.0007,2000,6.2224626541137695,39.2,39.2
,282,7,,,400,,,2000,,,
-0.6305201649665833,297,8,499,0.047751009464263916,500,-16.600299835205078,0.0007,2500,570.0810546875,,
-0.6699474453926086,,,599,0.003272533416748047,,1.1015617847442627,0.0007,3000,5.150208950042725,122.8,122.8
,283,10,,,600,,,3000,,,
-0.6399742960929871,287,12,699,0.00109177827835083,700,-8.405332565307617,0.0007,3500,225.72726440429688,,
-0.6020537614822388,,,799,0.0002200007438659668,,1.1880695819854736,0.0007,4000,4.067660331726074,77.2,77.2
,272,14,,,800,,,4000,,,
-0.5903704762458801,272,16,899,0.00235903263092041,900,0.7474032044410706,0.0007,4500,3.569723129272461,,
-0.6385335922241211,,,999,-2.9802322387695312e-06,,0.8302386999130249,0.0007,5000,3.0906834602355957,76.6,76.6
,270,18,,,1000,,,5000,,,
-0.6467853784561157,266,20,1099,-0.00010526180267333984,1100,0.6679813265800476,0.0007,5500,2.6482672691345215,,
-0.5086525678634644,,,1199,0.0013176798820495605,,-19.357271194458008,0.0007,6000,2159.767333984375,151.4,151.4
,266,22,,,1200,,,6000,,,
-0.6619024276733398,270,24,1299,-0.0010972023010253906,1300,0.6838836073875427,0.0007,6500,1.8446338176727295,,
-0.5767829418182373,,,1399,7.450580596923828e-06,,0.794571578502655,0.0007,7000,1.480413556098938,389.4,389.4
,244,28,,,1400,,,7000,,,
-0.6384795904159546,250,29,1499,-4.76837158203125e-06,1500,0.507937490940094,0.0007,7500,1.1595218181610107,,
-0.6267301440238953,,,1599,-0.00015306472778320312,,0.5025491118431091,0.0007,8000,0.8839340209960938,574.2,574.2
,234,34,,,1600,,,8000,,,
-0.6317247748374939,237,35,1699,-0.00026619434356689453,1700,0.28628239035606384,0.0007,8500,0.6455168128013611,,
-0.5990471243858337,,,1799,-0.00012290477752685547,,0.3086550831794739,0.0007,9000,0.444394588470459,1054.2,1054.2
,210,42,,,1800,,,9000,,,
-0.6387432217597961,214,44,1899,0.00035119056701660156,1900,0.3242350220680237,0.0007,9500,0.28721147775650024,,
-0.600616991519928,,,1999,0.00012606382369995117,,0.23226094245910645,0.0007,10000,0.16405543684959412,4767.2,4767.2
,144,69,,,2000,,,10000,,,
-0.6602625846862793,148,70,2099,-7.450580596923828e-05,2100,0.13176529109477997,0.0007,10500,0.07511361688375473,,
-0.557221531867981,,,2199,-3.9577484130859375e-05,,0.07135980576276779,0.0007,11000,0.01654871739447117,279.2,279.2
,150,73,,,2200,,,11000,,,
-0.581375002861023,154,74,2299,0.0,2300,0.007316235452890396,0.0007,11500,0.00046133180148899555,,
-0.5133113861083984,,,2399,0.015200257301330566,,0.0011922151315957308,0.0007,12000,5.4238362281466834e-06,131.2,131.2
,156,76,,,2400,,,12000,,,
-0.3799284100532532,159,78,2499,-0.0006798505783081055,2500,0.0007120518712326884,0.0007,12500,6.271642405408784e-07,,
-0.5373607277870178,,,2599,0.699999988079071,,7.588231528643519e-05,0.0007,13000,1.0395888594416647e-08,330.0,330.0
,160,81,,,2600,,,13000,,,
-0.5985116362571716,163,82,2699,3.045797348022461e-05,2700,0.0024753056932240725,0.0007,13500,2.1014793674112298e-05,,
-0.5783650875091553,,,2799,0.013751864433288574,,0.0016163056716322899,0.0007,14000,6.611866410821676e-06,121.2,121.2
,165,84,,,2800,,,14000,,,
-0.4499684274196625,168,85,2899,7.510185241699219e-06,2900,0.002135245595127344,0.0007,14500,1.8942471797345206e-05,,
-0.5874126553535461,,,2999,0.012132406234741211,,0.0002724072546698153,0.0007,15000,6.624148340961256e-07,129.4,129.4
,171,87,,,3000,,,15000,,,
-0.6489861607551575,174,88,3099,0.07340878248214722,3100,0.00013151680468581617,0.0007,15500,6.406335018027676e-08,,
-0.6292586326599121,,,3199,0.8778604120016098,,0.00010847942030522972,0.0007,16000,3.4272670035306874e-08,167.2,167.2
,175,91,,,3200,,,16000,,,
-0.6271616816520691,177,92,3299,0.2888888716697693,3300,3.2204625313170254e-05,0.0007,16500,4.470348535789981e-09,,
-0.595870852470398,,,3399,0.9575000032782555,,-9.67427058640169e-06,0.0007,17000,5.355104693016699e-10,270.8,270.8
,178,95,,,3400,,,17000,,,
-0.5371037721633911,180,96,3499,8.940696716308594e-07,3500,0.0016428226372227073,0.0007,17500,1.423245976184262e-05,,
-0.6398711204528809,,,3599,0.39555561542510986,,-3.273680340498686e-05,0.0007,18000,3.678724214140061e-09,382.2,382.2
,180,99,,,3600,,,18000,,,
-0.5317999720573425,183,100,3699,-0.003875732421875,3700,0.0007332050008699298,0.0007,18500,6.80719949741615e-06,,
-0.528619647026062,,,3799,2.5033950805664062e-05,,0.002082619583234191,0.0007,19000,1.8806731532095e-05,1040.6,1040.6
,177,107,,,3800,,,19000,,,
-0.42748385667800903,179,108,3899,nan,3900,1.4642087080574129e-06,0.0007,19500,8.149072389107559e-11,,
-0.612162709236145,,,3999,-0.1758737564086914,,0.0006515058921650052,0.0007,20000,3.478420012470451e-06,1018.6,1018.6
,172,115,,,4000,,,20000,,,
